State_Name,Season,Crop,Area,temperature,humidity,rainfall,N,P,K,ph,Yield
Tamil Nadu,Whole Year ,apple,3.0,24.055200767165967,87.05340419741752,110.76436374669792,20.9818346955819,126.81992501561895,216.73485836760972,6.365854863027139,0.0
Tamil Nadu,Whole Year ,apple,4.0,24.506826188355873,94.21048929964378,117.17921243173592,19.944540461265905,133.40901095272824,192.98916395401594,6.14153660070777,0.0
Tamil Nadu,Whole Year ,apple,1.0,20.409972113848752,90.95011721168369,109.71465552067987,19.584589010477664,128.6927772172135,196.57564793971875,6.470117888463309,0.0
Tamil Nadu,Whole Year ,apple,1.0,24.540640203325186,85.70832513591316,117.48214773927363,18.793458016497446,143.57248064008274,201.3660357936459,6.512987485033415,0.0
Andaman and Nicobar Islands,Whole Year ,banana,176.0,29.96077165704752,78.9711280046289,100.20107324190954,109.26501898629319,74.94268346502356,49.99551392245677,5.436969878643932,3.6420454545454546
Andaman and Nicobar Islands,Whole Year ,banana,213.0,29.458189339292154,74.29436692411427,98.35401475143118,93.33454966630909,76.80161949179872,53.54121818841502,5.4898300653917405,6.0
Andaman and Nicobar Islands,Whole Year ,banana,266.0,27.03834454110561,85.57012233098862,101.17522296145836,91.37134408952373,85.37907395538429,50.56051047737973,5.82989620904919,6.62781954887218
Andaman and Nicobar Islands,Whole Year ,banana,66.42,25.718088609269376,84.17556120549185,107.10563285480484,102.25695152540438,81.7373317203841,53.47539159857512,6.301358157516585,6.084311954230653
Andaman and Nicobar Islands,Whole Year ,banana,22.0,29.00668884293643,77.8200533150976,95.14072823947163,90.61963677265366,82.38975999140978,45.9902346052432,5.791497703887715,26.454545454545453
Andaman and Nicobar Islands,Whole Year ,banana,198.0,27.388816469379854,74.34723368825537,114.30761688823142,109.64981289643936,83.94801277035559,54.389919356273595,5.796649009518237,4.929292929292929
Andaman and Nicobar Islands,Whole Year ,banana,593.0,28.198418725093074,82.09236395127675,113.01452787132331,93.85186329263355,90.17928889206236,46.10760060386757,5.656306234415775,5.775716694772344
Andaman and Nicobar Islands,Whole Year ,banana,1531.0,29.946354207292394,83.417525277159,99.18328630424944,96.30584000236689,79.32739486021923,54.25963196277219,6.539426534246875,7.885695623775311
